name,position
Mark Drakeford,First Minister of Wales
Mick Antoniw,Counsel General and Minister for the Constitution
Rebecca Evans,Minister for Finance and Local Government
Vaughan Gething,Minister for Economy
Lesley Griffiths,"Minister for Rural Affairs and North Wales, and Trefnydd"
Jane Hutt,Minister for Social Justice
Julie James,Minister for Climate Change
Jeremy Miles,Minister for Education and Welsh Language
Eluned Morgan,Minister for Health and Social Services
Hannah Blythyn,Deputy Minister for Social Partnership
Dawn Bowden,"Deputy Minister for Arts and Sport, and Chief Whip"
Julie Morgan,Deputy Minister for Social Services
Lynne Neagle,Deputy Minister for Mental Health and Wellbeing
Lee Waters,Deputy Minister for Climate Change
